"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"BGD2019+ContraceptiveMethod","ContraceptiveMethod","BGD2019","0.801665518366682","0.801665518366682","0.801665518366682","MICS",1,"BGD2019","Bangladesh","2019","wm","ContraceptiveMethod","0.777750196919147",1,"ContraceptiveMethod",0.0239153214475349
"BGD2019+Covid","Covid","BGD2019","0.288318864596555","0.288318864596555","0.288318864596555","MICS",1,"BGD2019","Bangladesh","2019","hl","Covid","0.288318864596555",1,"Covid",0
"BGD2019+HandwashHL","HandwashHL","BGD2019","0.786012328052613","0.786012328052613","0.786012328052613","MICS",1,"BGD2019","Bangladesh","2019","hl","HandwashHL","0.786012328052613",1,"HandwashHL",0
"BGD2019+HigherEducation2535","HigherEducation2535","BGD2019","0.139375946403001","0.139375946403001","0.139375946403001","MICS",1,"BGD2019","Bangladesh","2019","hl","HigherEducation2535","0.122708646918002",1,"HigherEducation2535",0.016667299484999
"BGD2019+HigherEducation35plus","HigherEducation35plus","BGD2019","0.092508652445143","0.092508652445143","0.092508652445143","MICS",1,"BGD2019","Bangladesh","2019","hl","HigherEducation35plus","0.0503277999345164",1,"HigherEducation35plus",0.0421808525106266
"BGD2019+InternetUse","InternetUse","BGD2019","0.128917042635423","0.128917042635423","0.128917042635423","MICS",1,"BGD2019","Bangladesh","2019","wm","InternetUse","0.128917042635423",1,"InternetUse",0
"BGD2019+LearningHL","LearningHL","BGD2019","0.974146223437288","0.974146223437288","0.974146223437288","MICS",1,"BGD2019","Bangladesh","2019","hl","LearningHL","0.974146223437288",1,"LearningHL",0
"BGD2019+MobilePhone","MobilePhone","BGD2019","0.713982811543126","0.713982811543126","0.713982811543126","MICS",1,"BGD2019","Bangladesh","2019","wm","MobilePhone","0.713982811543126",1,"MobilePhone",0
"BGD2019+MobilePhoneHH","MobilePhoneHH","BGD2019","0.947939195526904","0.947939195526904","0.947939195526904","MICS",1,"BGD2019","Bangladesh","2019","hh","MobilePhoneHH","0.947939195526904",1,"MobilePhoneHH",0
"BGD2019+NotCrowdedHL","NotCrowdedHL","BGD2019","0.50390253608003","0.50390253608003","0.50390253608003","MICS",1,"BGD2019","Bangladesh","2019","hl","NotCrowdedHL","0.50390253608003",1,"NotCrowdedHL",0
"BGD2019+NotOverweight","NotOverweight","BGD2019","0.975385397789486","0.975385397789486","0.975385397789486","MICS",1,"BGD2019","Bangladesh","2019","ch","NotOverweight","0.975385397789486",1,"NotOverweight",0
"BGD2019+NotStunting","NotStunting","BGD2019","0.717789539733633","0.717789539733633","0.717789539733633","MICS",1,"BGD2019","Bangladesh","2019","ch","NotStunting","0.717789539733633",1,"NotStunting",0
"BGD2019+NotWasting","NotWasting","BGD2019","0.899787499597016","0.899787499597016","0.899787499597016","MICS",1,"BGD2019","Bangladesh","2019","ch","NotWasting","0.899787499597016",1,"NotWasting",0
"BGD2019+NoViolenceJustifiedAgainstWomen","NoViolenceJustifiedAgainstWomen","BGD2019","0.746297958028085","0.746297958028085","0.746297958028085","MICS",1,"BGD2019","Bangladesh","2019","wm","NoViolenceJustifiedAgainstWomen","0.746297958028085",1,"NoViolenceJustifiedAgainstWomen",0
"BGD2019+Overweight","Overweight","BGD2019","0.024614602210515","0.024614602210515","0.024614602210515","MICS",1,"BGD2019","Bangladesh","2019","ch","Overweight","0.0246146022105146",1,"Overweight",3.98986399474666e-16
